timestamp,"node_network_receive_bytes_total{instance=""172.16.3.219:9100"", job=""otel-collector"", device=""eth1""}","node_network_transmit_bytes_total{instance=""172.16.3.86:9100"", job=""otel-collector"", device=""eth1""}","node_network_receive_bytes_total{instance=""172.16.2.14:9100"", job=""otel-collector"", device=""eth1""}",packet_count_ratio,delta_time_milliseconds,max_delta_time_milliseconds,min_delta_time_milliseconds,variance_delta_time_ratio,cycle_time_nanoseconds,longest_cycle_time_nanoseconds,shortest_cycle_time_nanoseconds,throughput_rcvd_by_imagestore_MBps,throughput_trnsmt_from_otherapps_MBps,throughput_rcvd_by_pnetio_MBps
1747832198,11918273738,21586717901,691067093984,51,16.012191772460938,4154.108762741089,14.960765838623047,335629.48610466503,1050369,1370642,1016221,1.178881,1.280582,0.003719
1747832199,11919496366,21588002111,691067098124,63,15.999794006347656,17.066478729248047,14.968395233154297,0.11074705972259645,1031158,1350871,1014078,1.165989,1.224718,0.003948
1747832200,11920735516,21589311855,691067102024,64,15.978097915649414,16.999483108520508,15.042543411254883,0.031280084228029054,1020858,1251638,1007977,1.181746,1.249069,0.003719
1747832201,11921956962,21590641125,691067105984,64,16.01099967956543,16.999244689941406,15.011310577392578,0.057068874668801894,1053270,3169128,1014200,1.164862,1.267691,0.003777
1747832202,11923224650,21591956877,691067109824,64,16.048431396484375,16.976356506347656,14.99319076538086,0.03201125999340956,1030518,1357426,1010136,1.208961,1.254799,0.003662
1747832203,11924465302,21593245653,691067113724,63,15.973567962646484,17.136812210083008,14.989852905273438,0.08547105857063121,1063020,1493200,1014781,1.183178,1.229073,0.003719
1747832204,11925725480,21594556899,691067117624,64,15.99264144897461,17.03166961669922,15.00391960144043,0.033829677582810434,1167401,3118097,1012321,1.201799,1.250502,0.003719
1747832205,11926963128,21595899687,691067121524,64,16.188621520996094,19.051074981689453,12.845516204833984,0.4001393724994658,1024801,1229885,1013219,1.180313,1.280582,0.003719
1747832206,11928179748,21597219945,691067125484,63,16.099214553833008,16.942977905273438,15.020370483398438,0.03297168530664197,1018480,1171214,1010272,1.160259,1.259096,0.003777
1747832207,11929417396,21598529689,691067129444,64,16.002893447875977,17.101764678955078,14.921903610229492,0.13385478245184368,1146779,1366372,1012321,1.180313,1.249069,0.003777
1747832208,11930664056,21599825915,691067132984,64,15.99431037902832,17.024993896484375,14.999628067016602,0.09621024475275629,1036297,1341867,1011179,1.188908,1.236177,0.003376
1747832209,11931919728,21601116133,691067136644,63,16.959428787231445,17.011165618896484,15.001296997070312,0.1216741563121672,1057733,4681804,1014003,1.197502,1.230448,0.003490
1747832210,11933148364,21602466431,691067140304,64,16.00813865661621,17.084360122680664,14.956474304199219,0.11688075651394696,1022207,1289700,1014682,1.171719,1.287745,0.003490
1747832211,11934367988,21603749139,691067144144,64,15.892982482910156,19.127368927001953,12.849092483520508,0.38393364564813537,1218589,4813783,1011578,1.163124,1.223286,0.003662
1747832212,11935599628,21605067895,691067147984,64,16.08109474182129,18.01919937133789,13.99087905883789,0.16442147389615264,1023642,2609195,1009788,1.174583,1.257664,0.003662
1747832213,11936840280,21606385149,691067151584,63,16.04485511779785,17.904281616210938,13.985872268676758,0.12578588165830867,1078916,1269452,1011099,1.183178,1.256231,0.003433
1747832214,11938100458,21607673865,691067155364,64,16.0219669342041,17.0290470123291,14.999866485595703,0.09747672855634007,1024379,2812380,1011615,1.201799,1.229015,0.003605
1747832215,11939323146,21609007641,691067159144,64,16.011953353881836,17.296314239501953,14.693021774291992,0.0553449592560962,1074589,1225512,1012300,1.166046,1.271988,0.003605
1747832216,11940545774,21610323393,691067163284,63,16.112089157104492,17.06552505493164,14.961004257202148,0.10360758976714159,1040626,1214407,1009103,1.165989,1.254799,0.003948
1747832217,11941811960,21611640647,691067167310,64,15.97738265991211,19.000768661499023,12.898445129394531,0.32986966021181974,1319061,1329182,1008808,1.207529,1.256231,0.003839
1747832218,11943013560,21612920351,691067171330,64,15.975713729858398,17.77029037475586,14.204740524291992,0.1590450064502155,1025977,1293184,1015070,1.145935,1.220421,0.003834
1747832219,11944257216,21614257131,691067174930,64,14.939069747924805,17.03929901123047,14.939069747924805,0.16370946517592422,1046014,1315569,1012968,1.186043,1.274853,0.003433
1747832220,11945515892,21615562369,691067178770,65,16.062498092651367,17.035961151123047,15.02084732055664,0.035411071408475436,1011826,1212054,1011826,1.200367,1.244772,0.003662
1747832221,11946761050,21616869109,691067182750,64,16.1287784576416,18.095970153808594,13.95726203918457,0.2153232180068675,1011826,1212054,1011826,1.187475,1.246204,0.003796
1747832222,11948000200,21618169841,691067186410,64,14.972925186157227,17.081022262573242,14.917850494384766,0.10552826442279832,1012321,3368863,1010286,1.181746,1.240475,0.003490
1747832223,11949227334,21619497609,691067190190,63,16.035079956054688,17.03953742980957,14.975786209106445,0.139985334905696,1044991,4328851,1012339,1.170286,1.266258,0.003605
1747832224,11950389876,21620582047,691067194690,64,15.019655227661133,16.994237899780273,15.019655227661133,0.03337639951041752,1021181,1322319,1013901,1.108686,1.034201,0.004292
1747832225,11951656062,21621932345,691067198710,64,15.969991683959961,17.03667640686035,14.978647232055664,0.09993928671686304,1026515,1220262,1011067,1.207529,1.287745,0.003834
1747832226,11952862168,21623272129,691067202370,63,15.053749084472656,19.071102142333984,12.877941131591797,0.34101042484102534,1042514,1210782,1011528,1.150232,1.277718,0.003490
1747832227,11954102820,21624595391,691067206030,64,16.10541343688965,17.12775230407715,14.890193939208984,0.05020992000301328,1035625,1350993,1011381,1.183178,1.261961,0.003490
1747832228,11955316436,21625942685,691067209810,64,15.976667404174805,16.12091064453125,15.87986946105957,0.001464858112137209,1094863,2851696,1012526,1.157394,1.284880,0.003605
1747832229,11956554144,21627279525,691067213890,64,16.011476516723633,17.04263687133789,15.000104904174805,0.09485896557753,1023904,1258893,1015730,1.180370,1.274910,0.003891
1747832230,11957785784,21628587767,691067217850,63,16.01862907409668,17.17519760131836,14.86063003540039,0.11345745429711698,1040137,1229287,1010859,1.174583,1.247637,0.003777
1747832231,11959071496,21629930555,691067221750,64,15.980243682861328,17.14944839477539,14.842510223388672,0.08512790065885834,1040137,1229287,1010859,1.226151,1.280582,0.003719
1747832232,11960270092,21631264331,691067225590,64,15.867471694946289,19.09947395324707,13.939380645751953,0.26270453214938205,1032227,1290315,1011628,1.143070,1.271988,0.003662
1747832233,11961491218,21632617633,691067226550,63,16.025304794311523,16.87932014465332,15.000581741333008,0.05807245368084507,1027552,1210355,1010806,1.164557,1.290609,0.000916
1747832234,11962746890,21633936389,691067226970,3,10.95890998840332,17.24553108215332,10.95890998840332,9.880401194095612,1019628,1348977,1014825,1.197502,1.257664,0.000401
1747832235,11963981534,21635289691,691067227210,3,0,17.24553108215332,10.95890998840332,9.880401194095612,1039766,1496679,1012253,1.177448,1.290609,0.000229
1747832236,11965231198,21636664021,691067227572,3,0,17.24553108215332,10.95890998840332,9.880401194095612,1041537,2045831,1013425,1.191772,1.310663,0.000345
1747832237,11966476356,21637961749,691067228382,3,0,17.24553108215332,10.95890998840332,9.880401194095612,1034577,1168194,1010444,1.187475,1.237610,0.000772
1747832238,11967739538,21639318055,691067228682,3,0,17.24553108215332,10.95890998840332,9.880401194095612,1030003,1359626,1009047,1.204664,1.293474,0.000286
